content,month_str,value
Profiles: Products,2012-06,326
Profiles: Products,2012-07,575
Profiles: Products,2012-08,401
Profiles: Products,2012-09,253
Profiles: Products,2012-10,290
Profiles: Products,2012-11,313
Profiles: Products,2012-12,385
Profiles: Products,2013-01,379
Profiles: Products,2013-02,295
Profiles: Products,2013-03,593
Profiles: Products,2013-04,500
Profiles: Products,2013-05,495
Profiles: Products,2013-06,613
Profiles: Products,2013-07,636
Profiles: Products,2013-08,633
Profiles: Products,2013-09,499
Profiles: Products,2013-10,630
Profiles: Products,2013-11,495
Profiles: Products,2013-12,597
Profiles: Products,2014-01,687
Profiles: Products,2014-02,724
Profiles: Products,2014-03,639
Profiles: Products,2014-04,753
Profiles: Products,2014-05,1218
Profiles: Products,2014-06,2163
Profiles: Products,2014-07,1893
Profiles: Products,2014-08,1838
Profiles: Products,2014-09,1688
Profiles: Products,2014-10,1573
Profiles: Products,2014-11,394
Profiles,2007-05,43
Profiles,2007-06,297
Profiles,2007-07,1032
Profiles,2007-08,1500
Profiles,2007-09,488
Profiles,2007-10,496
Profiles,2007-11,889
Profiles,2007-12,979
Profiles,2008-01,810
Profiles,2008-02,2986
Profiles,2008-03,2649
Profiles,2008-04,2185
Profiles,2008-05,3112
Profiles,2008-06,3292
Profiles,2008-07,3017
Profiles,2008-08,2551
Profiles,2008-09,2363
Profiles,2008-10,3055
Profiles,2008-11,4458
Profiles,2008-12,4504
Profiles,2009-01,4178
Profiles,2009-02,2674
Profiles,2009-03,2950
Profiles,2009-04,3125
Profiles,2009-05,3441
Profiles,2009-06,5786
Profiles,2009-07,4297
Profiles,2009-08,3724
Profiles,2009-09,3658
Profiles,2009-10,3234
Profiles,2009-11,3308
Profiles,2009-12,4597
Profiles,2010-01,4411
Profiles,2010-02,3505
Profiles,2010-03,4369
Profiles,2010-04,3911
Profiles,2010-05,3950
Profiles,2010-06,3699
Profiles,2010-07,4695
Profiles,2010-08,5264
Profiles,2010-09,4648
Profiles,2010-10,5638
Profiles,2010-11,4679
Profiles,2010-12,4527
Profiles,2011-01,4783
Profiles,2011-02,5007
Profiles,2011-03,5052
Profiles,2011-04,4470
Profiles,2011-05,4842
Profiles,2011-06,5334
Profiles,2011-07,5672
Profiles,2011-08,5060
Profiles,2011-09,4571
Profiles,2011-10,4483
Profiles,2011-11,4285
Profiles,2011-12,3973
Profiles,2012-01,3945
Profiles,2012-02,3957
Profiles,2012-03,5209
Profiles,2012-04,5305
Profiles,2012-05,5674
Profiles,2012-06,5341
Profiles,2012-07,6401
Profiles,2012-08,5931
Profiles,2012-09,5237
Profiles,2012-10,5753
Profiles,2012-11,5634
Profiles,2012-12,5728
Profiles,2013-01,6490
Profiles,2013-02,6870
Profiles,2013-03,7350
Profiles,2013-04,13732
Profiles,2013-05,21372
Profiles,2013-06,20081
Profiles,2013-07,19275
Profiles,2013-08,28733
Profiles,2013-09,18653
Profiles,2013-10,17859
Profiles,2013-11,17429
Profiles,2013-12,19494
Profiles,2014-01,20868
Profiles,2014-02,20793
Profiles,2014-03,21975
Profiles,2014-04,25987
Profiles,2014-05,12899
Profiles,2014-06,18404
Profiles,2014-07,19109
Profiles,2014-08,19319
Profiles,2014-09,19289
Profiles,2014-10,18250
Profiles,2014-11,4170
Rounds: angel,2007-05,1
Rounds: angel,2007-06,2
Rounds: angel,2007-07,12
Rounds: angel,2007-08,20
Rounds: angel,2007-09,12
Rounds: angel,2007-10,7
Rounds: angel,2007-11,25
Rounds: angel,2007-12,11
Rounds: angel,2008-01,13
Rounds: angel,2008-02,77
Rounds: angel,2008-03,34
Rounds: angel,2008-04,31
Rounds: angel,2008-05,33
Rounds: angel,2008-06,46
Rounds: angel,2008-07,27
Rounds: angel,2008-08,25
Rounds: angel,2008-09,27
Rounds: angel,2008-10,26
Rounds: angel,2008-11,29
Rounds: angel,2008-12,35
Rounds: angel,2009-01,35
Rounds: angel,2009-02,19
Rounds: angel,2009-03,16
Rounds: angel,2009-04,20
Rounds: angel,2009-05,14
Rounds: angel,2009-06,26
Rounds: angel,2009-07,20
Rounds: angel,2009-08,32
Rounds: angel,2009-09,34
Rounds: angel,2009-10,22
